cypriot,turkish,greek,english
Luks,Gazlı veya elektrikli ışıldak,Λάμπα υγραερίου ή ηλεκτρική,Gas or electric lamp
Maksıl,Mahsül,Προϊόν,Produce
Ma,"Cümleye veya soruya başlangıç sözü, bu arada, aslında","Στην αρχή πρότασης, στην πραγματικότητα","At the start of a sentence, actually"
Managül,Oje,Βερνίκι νυχιών,Nail polish
Mandıra,Üstü kapalı ahır,Στάβλος,Barn
Mangos,Hiddetli,Οργισμένος,Furious
Magarına bulli,Makarna & tavuk,Μακαρόνια με κοτόπουλο,Pasta with chicken
Macun,Reçel,Γλυκό του κουταλιού,Jam
Marmaragi,Mermer,Μάρμαρο,Marble
Mısmıl,Kaliteli/Sağlam,Ποιοτικό/Σταθερό,High-quality/solid
Mişaro,Kertenkele,Σαύρα,Lizard
Manamu,"Acıma belirtir, zavallım","Λυπάμαι, καημένος","Poor thing, my pity"
Mücendra,Yeşil mercimekli bir tür pilav,Ρύζι με φακές,Rice with lentils
Napang?,Nasılsın?,Τι κάνεις;,How are you?
Oraşda,Orada,Εκεί,There
Osdo yüro,"Hiç durmadan dönmek, bir obje etrafında",Γυρίζω ασταμάτητα γύρω από ένα αντικείμενο,To spin continuously around an object
Ötegü gün,Önceki gün,Την προηγούμενη ημέρα,The day before
Pasedembo,Kabak çekirdeği,Κολοκυθόσπορος,Pumpkin seeds
Paneri,Hasırdan yapılmış yerel tepsi,Καλάθι από ψάθα,Wicker basket
Pasdelli,Susamlı ve ballı kuru bir yemiş/tatlı,Ξηροί καρποί με σουσάμι και μέλι,Sesame and honey sweet
Patariya,Pil veya araba aküsü,Μπαταρία ή μπαταρία αυτοκινήτου,Battery or car battery
Penna,Tükenmez kalem,Στυλό διαρκείας,Ballpoint pen
Perisgan,Suyla karıştırılıp içilen sodalı toz,Αναβράζουσα σκόνη αναμεμειγμένη με νερό,Fizzing powder mixed with water
Pilavuna,Peynir ve kuru üzümle yapılan börek,Πίτα με τυρί και σταφίδες,Pie with cheese and raisins
Pirilli,"Misket, bilye",Γυάλινη μπίλια,Marble
Pirohu,Bir tür börek,Ένα είδος πίτας,A type of pie
Piron,Çatal,Πιρούνι,Fork
Piskot,Bisküvi,Μπισκότο,Biscuit
Pesgir/Tor,Havlu,Πετσέτα,Towel
Potin,Ayakkabı,Παπούτσι,Shoe
Pisgot,Bisküvi,Μπισκότο,Biscuit
Pirili,Misket,Γυάλινη μπίλια,Marble
Pensa,Kerpeten,Πένσα,Pliers
Renga,Kokulu Herring balığı,Ρέγγα,Herring fish
Sakgulli,Torba,Σακούλα,Bag
Sakgo,Mont/Ceket,Μπουφάν,Jacket
Solina,Boru,Σωλήνας,Pipe
Susta,Yay,Ελατήριο,Spring
Siribilla,Tavuk dışkısı,Κοτόπουλο κόπρανα,Chicken droppings
Stekka,Bilardo sopası,Μπαστούνι μπιλιάρδου,Billiard stick
Stokko,Cam çerçevelerinde kullanılan yapışkan macun,Στόκος για πλαίσια παραθύρων,Putty for window frames
Şafk,Işık,Φως,Light
Şiro,Kepçeli buldozer,Μπουλντόζα με κουτάλα,Bulldozer with scoop
Tapba lamarina,Çok hızlı giden aracı anlatmak için kullanılır,Πολύ γρήγορο όχημα,Very fast vehicle
Tayka,Dakika,Λεπτό,Minute
Trabez,Yemek masası,Τραπέζι φαγητού,Dining table
Van,Kamyonet,Φορτηγάκι,Van
Vordo Vosgo Guello,Aptal,Ηλίθιος,Stupid
Valvid,"Valf veya subap, kapak",Βαλβίδα,Valve or cap
Virra,"Devamlı, duraksız",Συνεχώς,Continuously
Yusufcuk,Mandalina,Μανταρίνι,Tangerine
Yüro,"Dairesel tur atmak, dönmek","Κάνω κύκλο, περιστρέφομαι","To rotate, to spin in circles"
Zeflemek,Alay etmek,Κοροϊδεύω,To mock
Zivaniya,"Kıbrıs’a has, üzümden yapılan çok yüksek alkol oranı olan bir içki",Κυπριακό απόσταγμα σταφυλιών,Cypriot grape spirit
Zıbandık ," İzbandut, görünüşü ve davranışı ile korku veren(iri yarı adam)","ο τρομακτικός (μεγάλος, δυνατός τύπος) που τρομάζει τους ανθρώπους με την όψη και τη συμπεριφορά του"," the frightening(big, strong guy) who scares people with his sight and behaviours"
Birceğez,Birazcık,Λίγο,"A little bit, less"
falan feslikan,falan filan,μπλα μπλα μπλα μπλα,"and so on, bla bla; more or less, it happened like that"
Puşt pezevenk,"Samimi bir ortamda argo, veya herhangi bir ortamda küfür/hakaret olarak kullanılır","Puşt σημαίνει αναξιόπιστος, προδότης, ομοφυλόφιλος ως προσβολή ή απλά μια ανούσια προσβολή- Pezevenk σημαίνει νταβατζής- όταν συνδυάζονται χρησιμοποιείται ως προσβολή ή αργκό σε ένα ειλικρινές περιβάλλον","Puşt means untrustworthy, traitor, gay as an insult or just a meaningless insult; Pezevenk means pimp; when they are combined it is used as an insult or slang in a sincere setting"
garabina,kilitli kanca,καραμπίνερ,carabiner
marka megapse,ne idüğü belirsiz marka, άγνωστη και αναξιόπιστη μάρκα ,unknown and untrustable brand
bendolira,beşibiyerde, πέντε χρυσά νομίσματα,five pieces of gold
Ispirto Rakısı,Saf Alkol,Καθαρό αλκοόλ ,Pure Alcohol
Lamba Suyu,Gaz yağı,Πετρέλαιο εσωτερικής καύσης,Gas oil
hiçbir şey,"ne demek, lafı olmaz",Παρακαλώ,"no problem, youa are welcome"
beki,belki,maybe,ίσως
Αλιζάβρα,iri kertenkele,μεγάλη σαύρα,large lizard
Paluzade,Üzüm suyu tatlısı,μουσταλευριά,Grape pudding
Gamaşa,Aptal,χαζός,Stupid
Golimba,Su birikintisi,λακούβα,Puddle
Gutsulli,İzmarit,γόπα,Cigarette butt
Sıyrılmak,Kaymak,γλιστράω,To slip
Dırbalamak,Asılsız şekilde atıp tutmak,λέω αρλούμπες,To talk nonsense
γαλίνα,Sükunet,γαλίνα,"Calm, Serenity"
γάλος,Horoz,γάλος,Rooster
